experiment_version,ds_case,n_dso,region,attempted_scenarios,optimal_scenarios,mean_solve_time_s,median_solve_time_s,std_solve_time_s,min_solve_time_s,p95_solve_time_s,max_solve_time_s,timing_scope
v1,case33bw_ds,27,base,5,5,1.0053401600103826,1.0154831999971066,0.02306319309884153,0.9601979000144638,1.0222336000122596,1.0229384000122081,solver.solve wall-clock only
v1,case33bw_ds,27,pinn,5,5,1.2440137600002346,1.2292061999905854,0.03174668971739467,1.223343300021952,1.2921479200071189,1.3072764000098687,solver.solve wall-clock only
v1,case33bw_ds,27,true,5,5,4.800903399992967,4.414393699989887,0.7387408684454821,4.27163129998371,5.940592139988439,6.250138899980811,solver.solve wall-clock only
v2,case533mt_hi_ds,27,base,5,5,0.9985199199931231,0.9998771999962628,0.010745336510209523,0.985716199997114,1.0133885799790732,1.016444099979708,solver.solve wall-clock only
v2,case533mt_hi_ds,27,pinn,5,5,1.1333416799956466,1.1393923999858089,0.011257024280862967,1.1168335000111256,1.1446295999805443,1.1452508999791462,solver.solve wall-clock only
v2,case533mt_hi_ds,27,true,5,5,579.3423637600033,700.7876825999992,261.90677301890383,219.8527766999905,856.2819038600079,873.732725400012,solver.solve wall-clock only
v3,case118zh_ds,27,base,5,5,0.9865448800090235,0.978359000000637,0.02394596269463641,0.9691562000080012,1.0230390200100374,1.0336627000069711,solver.solve wall-clock only
v3,case118zh_ds,27,pinn,5,5,1.132794540002942,1.128863599995384,0.011945927852582956,1.1164419999986421,1.1494183600065297,1.152127000008477,solver.solve wall-clock only
v3,case118zh_ds,27,true,5,5,22.493829700001516,24.06135189998895,3.8302329555472037,16.447062100021867,26.822390619991346,27.390061399986735,solver.solve wall-clock only
v4,case36real_3phase_ds,27,base,5,5,1.013433339999756,1.0184533999999985,0.01896089136512479,0.9840631000115536,1.0341196799883619,1.0353305999888107,solver.solve wall-clock only
v4,case36real_3phase_ds,27,pinn,5,5,1.2467883000033908,1.2449205000011716,0.015622851345578366,1.2283888000238221,1.2695524199865758,1.2748039999860339,solver.solve wall-clock only
v4,case36real_3phase_ds,27,true,5,5,61.90126663999981,56.850393100001384,11.968161118943023,47.95489120000275,79.48580380001222,82.74071450001793,solver.solve wall-clock only
