n_dso,profile,ts_load_factor,dso_position,pcc_index_zero_based,pcc_bus_number,condition,coverage_percent,undercoverage_percent,overcoverage_percent,pinn_p_pu_dsbase,pinn_q_pu_dsbase,true_p_pu_dsbase,true_q_pu_dsbase,pinn_true_interface_distance_pu,disaggregation_squared_error,disaggregation_feasible,disaggregation_optimization_success,disaggregation_termination,disaggregation_solve_time_s
10,target_P10,0.9,1,59,60,P10,86.79891129115522,13.201088708844766,0.0,0.2947169314473907,0.18760438647685357,0.2880887093629705,0.19200528587672339,0.007956207861046009,5.4198489524630164e-11,True,True,optimal,0.31513489999997546
10,target_P10,0.9,2,77,78,P10,86.79891129115522,13.201088708844766,0.0,0.29471693185909276,0.18760441159717153,0.28814120238158014,0.20231546851790236,0.016113826792118955,5.41981583814538e-11,True,True,optimal,0.30281330000025264
10,target_P10,0.9,3,10,11,P10,86.79891129115522,13.201088708844766,0.0,0.294716931400455,0.18760438475235514,0.28808870148973154,0.19200014008875313,0.007953370148992242,5.419851256539059e-11,True,True,optimal,0.33416680000027554
10,target_P10,0.9,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.29471693108097063,0.18760436232351507,0.288102992645375,0.19136293169368274,0.007607300792016316,5.419880743959635e-11,True,True,optimal,0.3100383000000875
10,target_P10,0.9,5,44,45,P30,87.92401346901782,12.07598653098216,0.0,0.3086619749839432,0.17325903084653735,0.30287609453062414,0.1853102159543112,0.013368151522253563,4.736801561722374e-11,True,True,optimal,0.3812216000001172
10,target_P10,0.9,6,94,95,P10,86.79891129115522,13.201088708844766,0.0,0.29471693110631014,0.1876043591440468,0.28813806571502365,0.19083254116903536,0.0073282077633706885,5.419884807783879e-11,True,True,optimal,0.3071279000000686
10,target_P10,0.9,7,78,79,P10,86.79891129115522,13.201088708844766,0.0,0.2962078145094952,0.2742917176562851,0.2895907651471687,0.24988102563016332,0.025291643431331813,3.3117890657780564e-11,True,True,optimal,0.3863550999999461
10,target_P10,0.9,8,87,88,P10,86.79891129115522,13.201088708844766,0.0,0.2962078141651185,0.2742917052675432,0.2889300264036103,0.2365152627961406,0.038471103447870435,3.311787811341331e-11,True,True,optimal,0.38730420000001686
10,target_P10,0.9,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2947169310897871,0.1876043651980875,0.28809377698305305,0.19161313183985293,0.007741858969890825,5.4198770176312654e-11,True,True,optimal,0.3003409000002648
10,target_P10,0.9,10,105,106,P30,87.92401346901782,12.07598653098216,0.0,0.3086619751537652,0.1732590362460616,0.3029104572197076,0.18802944765615714,0.015850710134541826,4.736796535144899e-11,True,True,optimal,0.3522488999997222
10,target_P10,1.0,1,59,60,P10,86.79891129115522,13.201088708844766,0.0,0.2947169314624783,0.18760438743457622,0.28808872024153886,0.19201123630426237,0.007959491249423007,5.419847690975465e-11,True,True,optimal,0.31094009999969785
10,target_P10,1.0,2,77,78,P10,86.79891129115522,13.201088708844766,0.0,0.30174285106065163,0.30697447857875415,0.29553949542100866,0.3125605915722888,0.0083478308301275,1.749343095388946e-11,True,True,optimal,0.3749308999999812
10,target_P10,1.0,3,10,11,P10,86.79891129115522,13.201088708844766,0.0,0.29471693140409877,0.18760438528277126,0.28808870832130823,0.19200506512158422,0.007956087246817505,5.419850565632709e-11,True,True,optimal,0.3105620999999701
10,target_P10,1.0,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.2947169311766688,0.18760435731950711,0.2881945699870509,0.1903017200098487,0.007058113131076946,5.4198870478701464e-11,True,True,optimal,0.3226896000001034
10,target_P10,1.0,5,44,45,P30,87.92401346901782,12.07598653098216,0.0,0.30866197500923737,0.1732590317547696,0.30287630912557123,0.18532775652899425,0.01338387266053448,4.736800721212858e-11,True,True,optimal,0.3818647999996756
10,target_P10,1.0,6,94,95,P10,86.79891129115522,13.201088708844766,0.0,0.2947169313228205,0.18760435620644095,0.2882626702546692,0.18983251681622637,0.006828044056598739,5.4198882443967375e-11,True,True,optimal,0.3278552000001582
10,target_P10,1.0,7,78,79,P10,86.79891129115522,13.201088708844766,0.0,0.29620781572027094,0.2742917301643803,0.29542171000770723,0.3117669773762634,0.037483491243253717,3.3117889051329853e-11,True,True,optimal,0.3691757999999936
10,target_P10,1.0,8,87,88,P10,86.79891129115522,13.201088708844766,0.0,0.296207814733288,0.27429172159151816,0.29021067039382603,0.2582716073848923,0.017105841090740797,3.311789275043594e-11,True,True,optimal,0.3783966999999393
10,target_P10,1.0,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2953297533846095,0.18590832067239027,0.29116560977329964,0.1835542888220836,0.004783467149241313,7.198901206491845e-11,True,True,optimal,0.35799309999993056
10,target_P10,1.0,10,105,106,P30,87.92401346901782,12.07598653098216,0.0,0.3086619755816326,0.17325904972462433,0.30316266298540345,0.2010113887011642,0.028291955706522275,4.7367839816163866e-11,True,True,optimal,0.3670553999995718
10,target_P10,1.05,1,59,60,P10,86.79891129115522,13.201088708844766,0.0,0.2947169314674983,0.18760438776542637,0.28808872575803174,0.19201382183105253,0.007960918270281971,5.419847255493801e-11,True,True,optimal,0.30736339999975826
10,target_P10,1.05,2,77,78,P10,86.79891129115522,13.201088708844766,0.0,0.4531797700753758,0.3137132811344975,0.45435517392506386,0.33111549096816484,0.017441860029963847,4.95813204648156e-12,True,True,optimal,0.30714850000003935
10,target_P10,1.05,3,10,11,P10,86.79891129115522,13.201088708844766,0.0,0.29471693140134525,0.1876043852790074,0.28808871002386244,0.19200615120963166,0.007956686617991466,5.419850575026661e-11,True,True,optimal,0.3013335000000552
10,target_P10,1.05,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.2953297537574987,0.18590832001563423,0.29625813959563563,0.1799315051386377,0.006048488764835413,7.198901911299825e-11,True,True,optimal,0.3492055000001528
10,target_P10,1.05,5,44,45,P30,87.92401346901782,12.07598653098216,0.0,0.3086619749717084,0.1732590306003654,0.30287607858926363,0.18530885569210598,0.013366932396400006,4.7368017977490315e-11,True,True,optimal,0.3421868000000359
10,target_P10,1.05,6,94,95,P10,86.79891129115522,13.201088708844766,0.0,0.2957427929000146,0.24725306694667262,0.2904571538707696,0.26134417562209994,0.015049828027262672,2.1225572227984764e-12,True,True,optimal,0.34700740000016594
10,target_P10,1.05,7,78,79,P10,86.79891129115522,13.201088708844766,0.0,0.4531797742335623,0.3137132812590352,0.45480151155770077,0.33109758014853985,0.01745977891693181,4.95813434913053e-12,True,True,optimal,0.30754479999995965
10,target_P10,1.05,8,87,88,P10,86.79891129115522,13.201088708844766,0.0,0.31311401295287355,0.31124639845041535,0.3089093723374575,0.32529900190200783,0.014668151433378204,4.890519338844288e-12,True,True,optimal,0.339821000000029
10,target_P10,1.05,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2953297535300422,0.18590832028854704,0.29323560042633456,0.18161644269583335,0.004775530388617179,7.198901776903802e-11,True,True,optimal,0.33082569999987754
10,target_P10,1.05,10,105,106,P30,87.92401346901782,12.07598653098216,0.0,0.3086619754103001,0.17325904441159004,0.30301837358463624,0.19375441517475614,0.02125818581832138,4.736788934069701e-11,True,True,optimal,0.3688201999998455
10,target_P30,0.9,1,59,60,P30,87.92401346901782,12.07598653098216,0.0,0.3086619741336179,0.1732590142344761,0.3028329389073315,0.17556301025971568,0.0062678584343943,4.73681752852145e-11,True,True,optimal,0.34131150000030175
10,target_P30,0.9,2,77,78,P30,87.92401346901782,12.07598653098216,0.0,0.30866197417792535,0.1732590158447457,0.3028757081649409,0.18527334087258845,0.013335099558970958,4.736816039206324e-11,True,True,optimal,0.3662797000001774
10,target_P30,0.9,3,10,11,P30,87.92401346901782,12.07598653098216,0.0,0.30866197411905216,0.17325901398582666,0.30283293228541336,0.17555840518976107,0.006266173362351393,4.73681777033295e-11,True,True,optimal,0.37791870000000927
