profile,profile_index,ts_load_factor,region,start_index,feasible_solution,optimization_success,termination,cost,candidate_cost,build_time_s,solve_time_s
target_P10,0,0.9,base,0,True,True,optimal,77796.29562136487,77796.29562136487,1.4291159000022162,1.0002309999981662
target_P10,0,0.9,base,1,True,True,optimal,77796.29562136494,77796.29562136494,1.5419919000014488,1.0011943000026804
target_P10,0,0.9,base,2,True,True,optimal,77796.29562136481,77796.29562136481,1.9011518000006618,0.9645309999978053
target_P10,0,0.9,base,3,True,True,optimal,77796.29562136492,77796.29562136492,1.8440200000004552,0.9892915999989782
target_P10,0,0.9,base,4,True,True,optimal,77796.29562136486,77796.29562136486,1.8399098000008962,0.9933051000007254
target_P10,0,0.9,pinn,0,True,True,optimal,77597.27881451069,77597.27881451069,1.8768729000003077,1.0451456000009784
target_P10,0,0.9,pinn,1,True,True,optimal,77597.27881450889,77597.27881450889,1.8441057999989425,1.0432452999993984
target_P10,0,0.9,pinn,2,True,True,optimal,77597.2788145109,77597.2788145109,1.857500499998423,1.0490061000018613
target_P10,0,0.9,pinn,3,True,True,optimal,77597.27881451118,77597.27881451118,2.276023800000985,1.0489641999993182
target_P10,0,0.9,pinn,4,True,True,optimal,77597.278814511,77597.278814511,1.973734200000763,1.0711537999995926
target_P10,0,0.9,true,0,True,True,optimal,77584.43938883481,77584.43938883481,1.6385222999997495,2.309151600002224
target_P10,0,0.9,true,1,True,True,optimal,77584.43938883528,77584.43938883528,1.9385303999988537,2.3316335000017716
target_P10,0,0.9,true,2,True,True,optimal,77584.43938883569,77584.43938883569,1.9431698999978835,3.3327018999989377
target_P10,0,0.9,true,3,True,True,optimal,77584.4393888361,77584.4393888361,2.387418099999195,3.9730861999996705
target_P10,0,0.9,true,4,True,True,optimal,77584.43938883662,77584.43938883662,2.08581740000227,3.5089109999971697
target_P50,2,1.0,base,0,True,True,optimal,86864.55785923812,86864.55785923812,1.5738869000015256,1.0140011000003142
target_P50,2,1.0,base,1,True,True,optimal,86864.55785923761,86864.55785923761,1.9516772999995737,1.0346420999994734
target_P50,2,1.0,base,2,True,True,optimal,86864.55785534978,86864.55785534978,1.8648570999976073,1.045723299997917
target_P50,2,1.0,base,3,True,True,optimal,86864.55785923864,86864.55785923864,1.8524780000007013,1.006281100002525
target_P50,2,1.0,base,4,True,True,optimal,86864.55785534973,86864.55785534973,1.8620664999980363,1.019391199999518
target_P50,2,1.0,pinn,0,True,True,optimal,86435.41114227078,86435.41114227078,2.293098000001919,1.0864842999981192
target_P50,2,1.0,pinn,1,True,True,optimal,86435.41114227084,86435.41114227084,1.5448221000006015,1.0691278999984206
target_P50,2,1.0,pinn,2,True,True,optimal,86435.41114227101,86435.41114227101,1.8547696999994514,1.7871139999988372
target_P50,2,1.0,pinn,3,True,True,optimal,86435.41114225997,86435.41114225997,1.608009799998399,1.0322675999996136
target_P50,2,1.0,pinn,4,True,True,optimal,86435.41114227113,86435.41114227113,2.0654584000003524,1.0810735000013665
target_P50,2,1.0,true,0,True,True,optimal,86421.1900118744,86421.1900118744,1.68591970000125,2.15017490000173
target_P50,2,1.0,true,1,True,True,optimal,86421.19001187486,86421.19001187486,1.9934805999982927,2.4058411000005435
target_P50,2,1.0,true,2,True,True,optimal,86421.19001187525,86421.19001187525,2.4266984999994747,3.2258349000003363
target_P50,2,1.0,true,3,True,True,optimal,86421.19001187573,86421.19001187573,1.6517066000014893,4.24011480000263
target_P50,2,1.0,true,4,True,True,optimal,86421.19001187616,86421.19001187616,2.001043000000209,4.114663899999869
target_P90,4,1.05,base,0,True,True,optimal,93170.12944354168,93170.12944354168,2.370052099999157,1.0110911999981909
target_P90,4,1.05,base,1,True,True,optimal,93170.12944353983,93170.12944353983,1.5909623000006832,1.03420080000069
target_P90,4,1.05,base,2,True,True,optimal,93170.12944354155,93170.12944354155,1.8888308999994479,0.9929131000026246
target_P90,4,1.05,base,3,True,True,optimal,93170.1294435415,93170.1294435415,2.3708925999999337,1.0350868999994418
target_P90,4,1.05,base,4,True,True,optimal,93170.12944354076,93170.12944354076,1.5864074999990407,1.0256124999978056
target_P90,4,1.05,pinn,0,True,True,optimal,92019.96294247672,92019.96294247672,2.3987311000018963,1.107185600001685
target_P90,4,1.05,pinn,1,True,True,optimal,92019.96294247691,92019.96294247691,1.5898151000001235,1.1003712999990967
target_P90,4,1.05,pinn,2,True,True,optimal,92019.96294247714,92019.96294247714,1.9364834999978484,1.123502100002952
target_P90,4,1.05,pinn,3,True,True,optimal,92019.962942477,92019.962942477,1.8949183000004268,1.0625146999991557
target_P90,4,1.05,pinn,4,True,True,optimal,92019.96294247723,92019.96294247723,2.3661896999983583,1.0913029000003007
target_P90,4,1.05,true,0,True,True,optimal,91947.50031320521,91947.50031320521,2.1280463000002783,2.2893432000018947
target_P90,4,1.05,true,1,True,True,optimal,91947.50031320615,91947.50031320615,1.719411800000671,2.5614191999993636
target_P90,4,1.05,true,2,True,True,optimal,91947.50031320588,91947.50031320588,2.037006400001701,2.8703715999981796
target_P90,4,1.05,true,3,True,True,optimal,91947.50031320628,91947.50031320628,2.526879299999564,6.369283299998642
target_P90,4,1.05,true,4,True,True,optimal,91947.5003132065,91947.5003132065,1.6845199999988836,4.084576000001107
