candidate_rank,pcc_index_zero_based,pcc_bus_number,nominal_p_mw,nominal_q_mvar,nominal_apparent_load_mva,trial_dso_count,accepted,selected_order,feasible_solution,optimization_success,termination,objective,build_time_s,solve_time_s,pcc_voltage_pu,ts_case,ds_case,ts_model_version
1,59,60,78.0,3.0,78.05767098754612,1,True,1,True,True,optimal,86460.4691227025,1.2614706000003935,1.067062999999962,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
2,77,78,71.0,26.0,75.61084578286372,2,True,2,True,True,optimal,86485.35078828702,1.4525398000000678,1.0610136000000239,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
3,10,11,70.0,23.0,73.68174807915459,3,True,3,True,True,optimal,86502.77950655727,1.6848414000000957,1.0090433999998822,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
4,81,82,54.0,27.0,60.37383539249432,4,True,4,True,True,optimal,86506.46040964338,1.660077700000329,1.058492699999988,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
5,44,45,53.0,22.0,57.38466694161429,5,True,5,True,True,optimal,86511.56162605007,1.691886400000385,1.002508300000045,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
6,94,95,42.0,31.0,52.20153254455275,6,True,6,True,True,optimal,86511.7058164505,1.6801457999999911,1.0497198999996726,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
7,78,79,39.0,32.0,50.44799302251776,7,True,7,True,True,optimal,86515.42781179701,1.694850000000315,0.9909784999999829,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
8,87,88,48.0,10.0,49.03060268852505,8,True,8,True,True,optimal,86757.0714115157,1.6578121000002284,1.0638984000001983,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
9,74,75,47.0,11.0,48.27007354458868,9,True,9,True,True,optimal,86830.84452765163,2.008630599999833,1.014432299999953,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
10,105,106,43.0,16.0,45.880278987817846,10,True,10,True,True,optimal,86850.47187418719,1.38298739999982,1.0426634000000377,1.0,case118_ts,case33bw_ds,standard_ac_ybus_original_q_slack_v_2026_09
