line_index,from_bus,to_bus,I_nominal_pu,Imax_pu,I2max_pu2,current_margin
0,1,2,0.4612819632384797,0.5535383558861756,0.3064047114371704,1.2
1,2,3,0.41033481768340846,0.49240178122009015,0.24245951414871753,1.2
2,3,4,0.29520580256794443,0.3542469630815333,0.12549091085248923,1.2
3,4,5,0.2804288809096798,0.33651465709161577,0.11324211443748775,1.2
4,5,6,0.27358964113384127,0.3283075693606095,0.10778586009947143,1.2
5,6,7,0.12802961686191855,0.15363554023430226,0.02360387922308591,1.2
6,7,8,0.10440183409093413,0.12528220090912096,0.015695629864633347,1.2
7,8,9,0.08065496656612041,0.09678595987934449,0.009367522029766082,1.2
8,9,10,0.07393740376546704,0.08872488451856043,0.007872105132831885,1.2
9,10,11,0.06718617801563706,0.08062341361876448,0.006500134823542377,1.2
10,11,12,0.061416755246094225,0.07370010629531307,0.0054317056679404445,1.2
11,12,13,0.05395353876202081,0.06474424651442497,0.00419181745672063,1.2
12,13,14,0.046452200052946466,0.055742640063535756,0.0031072419212529014,1.2
13,14,15,0.031114170597749534,0.03733700471729944,0.0013940519212596407,1.2
14,15,16,0.024586144507823583,0.029503373409388297,0.0008704490425338004,1.2
15,16,17,0.017688538490266793,0.021226246188320152,0.0004505535272471758,1.2
16,17,18,0.010786288534181364,0.012943546241017637,0.0001675353892933618,1.2
17,2,19,0.03966093382682686,0.04759312059219223,0.002265105127702952,1.2
18,19,20,0.02977753107929847,0.035733037295158164,0.0012768499543371642,1.2
19,20,21,0.01985850996630086,0.02383021195956103,0.0005678790020376054,1.2
20,21,22,0.009932445519669276,0.011918934623603132,0.00014206100256172554,1.2
21,3,23,0.10630995467146626,0.1275719456057595,0.016274601305638858,1.2
22,23,24,0.09581473727763011,0.11497768473315613,0.013219867986597043,1.2
23,24,25,0.047989394988121034,0.05758727398574524,0.00331629412510929,1.2
24,6,26,0.14330033520498803,0.17196040224598563,0.02957037994060118,1.2
25,26,27,0.13701816584795173,0.1644217990175421,0.027034527992165002,1.2
26,27,28,0.1307800170549,0.15693602046587998,0.0246289145196671,1.2
27,28,29,0.12494688192781044,0.1499362583133725,0.022480881557014366,1.2
28,29,30,0.11091918486947719,0.1331030218433726,0.017716414423837326,1.2
29,30,31,0.0511988140472507,0.06143857685670084,0.003774698726176736,1.2
30,31,32,0.03317352267171635,0.03980822720605962,0.0015846949532892654,1.2
31,32,33,0.007867316424458856,0.009440779709350627,8.912832152048651e-05,1.2
