noise_level,error_type,count,failed,mean,std,min,p25,median,p75,p95,max,violation_rate,out_of_range_element_rate,out_of_range_measurement_rate
0.0,feasibility,1500,0,2.605165231284523e-12,1.0375322671038153e-11,2.703664552311957e-14,3.538647673293497e-13,8.06582930233637e-13,2.3922594881688978e-12,6.379794848372636e-12,3.264125308024158e-10,0.0,0.0,0.0
0.0,optimality,1500,0,0.0007548764259336788,0.0005655320265559866,2.1033843771861327e-05,0.0002908292761563368,0.0005894160462300089,0.0011259347250754778,0.0018309354004773448,0.002536070819337252,1.0,0.0,0.0
0.01,feasibility,1500,0,5.692448405236417e-08,1.2918849317454419e-06,2.1087971148026178e-14,3.626395726514502e-13,7.610273974684309e-13,2.4425793462781965e-12,8.879643317290726e-12,3.2416252169941317e-05,0.004,0.017333333333333333,0.2866666666666667
0.01,optimality,1500,0,0.0007734266538698325,0.0005941603707710312,3.073680726284601e-06,0.0002940922901311453,0.0005778816060403333,0.0011635415115347687,0.002002180994277795,0.0027925232509434764,1.0,0.017333333333333333,0.2866666666666667
0.03,feasibility,1500,0,3.31212565797494e-06,2.2730383117032566e-05,1.4573071072453356e-14,3.2055734492273736e-13,9.860464591236158e-13,4.8653551702679096e-12,4.058071369000395e-06,0.0003436979515033622,0.08466666666666667,0.061,0.7
0.03,optimality,1500,0,0.0009380487635815378,0.000894672767594351,6.2762441889536356e-15,0.00029482004122131965,0.000605568701582643,0.0012948509600560134,0.0028694085502566163,0.005171002182393613,0.9953333333333333,0.061,0.7
0.05,feasibility,1500,0,3.5284813574691194e-05,0.0001599514734666799,4.556927612668782e-15,3.179420946198685e-13,1.6162921943043136e-12,1.3640434828767508e-10,0.00018541284453704837,0.0017724165765443556,0.22533333333333333,0.09666666666666666,0.8266666666666667
0.05,optimality,1500,0,0.0012461361961288813,0.0014099641907770516,4.254776461012013e-17,0.0002845559856327349,0.0007334052785830806,0.001790830489185818,0.004169859125030127,0.008656415836020689,0.99,0.09666666666666666,0.8266666666666667
0.1,feasibility,1500,0,0.00035539029649669094,0.0011994076039663225,1.5297087738012756e-15,2.3026921525616695e-13,5.314763085815083e-12,0.00013261742532530204,0.0017338864415604974,0.011384394869840463,0.4086666666666667,0.19066666666666668,0.9933333333333333
0.1,optimality,1500,0,0.002526525439482643,0.003469698879305828,1.0566995498160032e-19,0.00032744118709372006,0.00122185610083617,0.0032786279488765486,0.008867842456186104,0.021966579607053744,0.9353333333333333,0.19066666666666668,0.9933333333333333
